Units,Maneuvers,Probability,Fill,Avg time,Min Time,Max Time,Solution type,Avg solution,Avg iterations,Avg nodes,Avg cuts Clique,Avg cuts Cover,Avg cuts Disjunctive,Avg cuts Flow cover,Avg cuts Gomory,Avg cuts GUB,Avg cuts zero-half,Avg cuts lift and projects,Total avg cuts
10.0,7.0,1.0,0.4,0.023782014846801758,0.021999835968017578,0.02700185775756836,integer infeasible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,7.0,1.0,0.4,0.1280003547668457,0.026000261306762695,0.17499780654907227,integer optimal solution,1.4,462.6,0.0,7.6,0.0,0.0,0.0,0.6,0.0,12.6,0.2,21.0
10.0,7.0,1.0,0.5,0.025209474563598632,0.023998498916625977,0.028002023696899414,integer infeasible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,7.0,1.0,0.5999999999999999,0.02890157699584961,0.026999711990356445,0.032003164291381836,integer infeasible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,7.0,1.0,0.7000000000000001,0.03141231536865234,0.029101133346557617,0.03800535202026367,integer infeasible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,7.0,1.0,0.7999999999999999,0.03409731388092041,0.030999183654785156,0.03800177574157715,integer infeasible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,7.0,1.0,0.9000000000000001,0.036402654647827146,0.03396129608154297,0.040001869201660156,integer infeasible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,9.0,0.5999999999999999,0.09999999999999999,0.016002321243286134,0.014018535614013672,0.01900196075439453,integer optimal solution,2.4,7.3,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.3
10.0,9.0,0.5999999999999999,0.19999999999999998,0.03220987319946289,0.02103281021118164,0.04999542236328125,integer optimal solution,3.8,37.9,0.0,3.9,0.0,0.0,0.0,2.1,0.0,8.9,1.0,15.9
10.0,9.0,0.5999999999999999,0.29999999999999993,0.08168933391571045,0.03500103950500488,0.17000126838684082,integer optimal solution,3.2,225.9,0.0,7.1,0.0,0.0,0.0,1.1,0.0,10.8,0.6,19.6
10.0,9.0,0.5999999999999999,0.39999999999999997,0.1257944345474243,0.039000749588012695,0.16700077056884766,integer optimal solution,3.0,371.1,0.0,14.0,0.0,0.0,0.0,0.4,0.0,15.2,0.1,29.7
10.0,9.0,0.6,0.5,0.041130393743515015,0.03699922561645508,0.048999786376953125,integer infeasible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,9.0,0.6,0.5,0.16650068759918213,0.16499900817871094,0.16800236701965332,integer optimal solution,1.0,483.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,47.0
10.0,9.0,0.5999999999999999,0.5999999999999999,0.04580466747283936,0.042987823486328125,0.05499744415283203,integer infeasible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,9.0,0.5999999999999999,0.7000000000000001,0.050697493553161624,0.04800009727478027,0.057999372482299805,integer infeasible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,9.0,0.5999999999999999,0.7999999999999999,0.06008479595184326,0.051963090896606445,0.06699824333190918,integer infeasible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,9.0,0.5999999999999999,0.9000000000000001,0.05989375114440918,0.054001808166503906,0.06599974632263184,integer infeasible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,9.0,0.7999999999999999,0.09999999999999999,0.01539762020111084,0.01399993896484375,0.01699972152709961,integer optimal solution,1.9,16.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
